gender,race/ethnicity,parental level of education,lunch,math score,reading score,writing score,total score,test preparation course,admission prospect
male,group E,some college,standard,76,71,72,219,none,medium
female,group D,master's degree,standard,74,79,82,235,none,high
female,group B,associate's degree,standard,94,87,92,273,completed,high
male,group C,some college,free/reduced,63,61,54,178,none,medium
female,group E,associate's degree,standard,95,89,92,276,completed,high
female,group D,master's degree,free/reduced,40,59,54,153,none,low
female,group B,some high school,standard,82,82,80,244,none,high
male,group A,high school,standard,68,70,66,204,none,medium
male,group B,bachelor's degree,free/reduced,55,59,54,168,none,medium
male,group C,master's degree,standard,79,78,77,234,none,high
female,group C,bachelor's degree,standard,86,92,87,265,none,high
male,group D,some college,standard,76,71,73,220,none,medium
male,group A,some high school,standard,64,50,43,157,none,low
male,group D,some high school,free/reduced,62,49,52,163,none,medium
female,group B,some high school,standard,54,61,62,177,completed,medium
female,group B,master's degree,free/reduced,77,97,94,268,completed,high
female,group C,some high school,standard,76,87,85,248,completed,high
female,group D,some college,standard,74,89,84,247,none,high
female,group E,some college,standard,66,74,73,213,completed,medium
female,group D,some high school,standard,66,78,78,222,completed,high
female,group B,high school,free/reduced,67,78,79,224,completed,high
male,group D,some college,standard,71,49,52,172,none,medium
female,group C,associate's degree,standard,91,86,84,261,none,high
male,group D,bachelor's degree,standard,69,58,57,184,none,medium
male,group C,master's degree,free/reduced,54,59,50,163,none,medium
male,group C,high school,standard,53,52,49,154,completed,low
male,group E,some college,standard,68,60,59,187,none,medium
male,group C,some high school,free/reduced,56,61,60,177,completed,medium
female,group C,high school,free/reduced,36,53,43,132,none,low
female,group D,bachelor's degree,free/reduced,29,41,47,117,none,low
female,group C,associate's degree,standard,62,74,70,206,none,medium
female,group C,associate's degree,standard,68,67,73,208,completed,medium
female,group C,some high school,standard,47,54,53,154,none,low
male,group E,associate's degree,standard,62,61,58,181,completed,medium
female,group E,associate's degree,standard,79,88,94,261,completed,high
male,group B,high school,standard,73,69,68,210,completed,medium
female,group C,bachelor's degree,free/reduced,66,83,83,232,completed,high
male,group C,associate's degree,standard,51,60,58,169,completed,medium
female,group D,high school,standard,51,66,62,179,none,medium
male,group E,bachelor's degree,standard,85,66,71,222,completed,high
male,group A,associate's degree,standard,97,92,86,275,completed,high
male,group C,high school,standard,75,69,68,212,completed,medium
male,group D,associate's degree,free/reduced,79,82,80,241,completed,high
female,group C,associate's degree,standard,81,77,79,237,none,high
female,group D,associate's degree,standard,82,95,89,266,none,high
female,group D,master's degree,standard,64,63,66,193,none,medium
male,group E,some high school,free/reduced,78,83,80,241,completed,high
female,group A,some high school,standard,92,100,97,289,completed,high
male,group C,high school,standard,72,67,64,203,completed,medium
female,group C,high school,free/reduced,62,67,64,193,none,medium
male,group C,master's degree,standard,79,72,69,220,none,medium
male,group C,some high school,free/reduced,79,76,65,220,none,medium
male,group B,bachelor's degree,free/reduced,87,90,88,265,completed,high
female,group B,associate's degree,standard,40,48,50,138,none,low
male,group D,some college,free/reduced,77,62,64,203,none,medium
male,group E,associate's degree,standard,53,45,40,138,none,low
female,group C,some college,free/reduced,32,39,33,104,none,low
female,group C,associate's degree,standard,55,72,79,206,completed,medium
male,group C,master's degree,free/reduced,61,67,66,194,none,medium
female,group B,associate's degree,free/reduced,53,70,70,193,none,medium
male,group D,some high school,standard,73,66,62,201,none,medium
female,group D,some college,standard,74,75,79,228,completed,high
female,group C,some college,standard,63,74,74,211,none,medium
male,group C,bachelor's degree,standard,96,90,92,278,completed,high
female,group D,some college,free/reduced,63,80,80,223,completed,high
male,group B,bachelor's degree,free/reduced,48,51,46,145,none,low
male,group B,associate's degree,standard,48,43,45,136,none,low
female,group E,bachelor's degree,free/reduced,92,100,100,292,completed,high
female,group D,master's degree,free/reduced,61,71,78,210,completed,medium
male,group B,high school,free/reduced,63,48,47,158,none,low
male,group D,bachelor's degree,free/reduced,68,68,67,203,none,medium
male,group B,some college,standard,71,75,70,216,completed,medium
male,group A,bachelor's degree,standard,91,96,92,279,none,high
female,group C,some college,standard,53,62,56,171,none,medium
female,group C,high school,free/reduced,50,66,64,180,completed,medium
female,group E,high school,standard,74,81,71,226,none,high
male,group A,associate's degree,free/reduced,40,55,53,148,completed,low
male,group A,some college,standard,61,51,52,164,completed,medium
female,group B,high school,standard,81,91,89,261,none,high
female,group B,some college,free/reduced,48,56,58,162,completed,medium
female,group D,master's degree,standard,53,61,68,182,none,medium
female,group D,some high school,standard,81,97,96,274,none,high
female,group E,some high school,standard,77,79,80,236,none,high
female,group D,bachelor's degree,free/reduced,63,73,78,214,none,medium
female,group D,associate's degree,standard,73,75,80,228,completed,high
female,group D,some college,standard,69,77,77,223,none,high
female,group C,associate's degree,standard,65,76,76,217,none,medium
female,group A,high school,standard,55,73,73,201,none,medium
female,group C,bachelor's degree,free/reduced,44,63,62,169,none,medium
female,group C,some college,standard,54,64,65,183,none,medium
female,group A,some high school,standard,48,66,65,179,none,medium
male,group C,some college,free/reduced,58,57,54,169,none,medium
male,group A,some high school,standard,71,62,50,183,none,medium
male,group E,bachelor's degree,standard,68,68,64,200,none,medium
female,group E,high school,standard,74,76,73,223,none,high
female,group C,bachelor's degree,standard,92,100,99,291,completed,high
female,group C,bachelor's degree,standard,56,79,72,207,completed,medium
male,group B,high school,free/reduced,30,24,15,69,none,low
male,group A,some high school,standard,53,54,48,155,none,low
female,group D,high school,standard,69,77,73,219,none,medium
female,group D,some high school,standard,65,82,81,228,none,high
female,group D,master's degree,standard,54,60,63,177,none,medium
female,group C,high school,standard,29,29,30,88,none,low
female,group E,some college,standard,76,78,80,234,none,high
male,group D,high school,free/reduced,60,57,51,168,none,medium
male,group D,master's degree,free/reduced,84,89,90,263,completed,high
male,group C,some high school,standard,75,72,62,209,none,medium
female,group C,associate's degree,standard,85,84,82,251,none,high
female,group C,master's degree,free/reduced,40,58,54,152,none,low
female,group E,some college,standard,61,64,62,187,none,medium
female,group B,associate's degree,standard,58,63,65,186,none,medium
male,group D,some college,free/reduced,69,60,63,192,completed,medium
female,group C,some college,standard,58,59,66,183,none,medium
male,group C,bachelor's degree,standard,94,90,91,275,completed,high
female,group C,associate's degree,standard,65,77,74,216,none,medium
female,group A,associate's degree,standard,82,93,93,268,none,high
female,group C,high school,standard,60,68,72,200,none,medium
female,group E,bachelor's degree,standard,37,45,38,120,none,low
male,group D,bachelor's degree,standard,88,78,83,249,none,high
male,group D,master's degree,standard,95,81,84,260,none,high
male,group C,associate's degree,free/reduced,65,73,68,206,completed,medium
female,group C,high school,free/reduced,35,61,54,150,none,low
male,group B,bachelor's degree,free/reduced,62,63,56,181,none,medium
male,group C,high school,free/reduced,58,51,52,161,completed,medium
male,group A,some college,standard,100,96,86,282,completed,high
female,group E,bachelor's degree,free/reduced,61,58,62,181,none,medium
male,group D,some college,standard,100,97,99,296,completed,high
male,group B,associate's degree,free/reduced,69,70,63,202,completed,medium
male,group D,associate's degree,standard,61,48,46,155,none,low
male,group D,some college,free/reduced,49,57,46,152,none,low
female,group C,some high school,standard,44,51,55,150,completed,low
male,group D,some college,standard,67,64,70,201,none,medium
male,group B,high school,standard,79,60,65,204,none,medium
female,group B,bachelor's degree,standard,66,74,81,221,completed,high
female,group C,high school,standard,75,88,85,248,none,high
male,group D,some high school,standard,84,84,80,248,none,high
male,group A,high school,standard,71,74,64,209,none,medium
female,group B,high school,free/reduced,67,80,81,228,completed,high
female,group D,some high school,standard,80,92,88,260,completed,high
male,group E,some college,standard,86,76,74,236,none,high
female,group D,associate's degree,standard,76,74,73,223,none,high
male,group D,high school,standard,41,52,51,144,none,low
female,group D,associate's degree,free/reduced,74,88,90,252,completed,high
female,group B,some high school,free/reduced,72,81,79,232,none,high
female,group E,high school,standard,74,79,80,233,completed,high
male,group B,high school,standard,70,65,60,195,none,medium
female,group B,bachelor's degree,standard,65,81,81,227,completed,high
female,group D,associate's degree,standard,59,70,65,194,none,medium
female,group E,high school,free/reduced,64,62,68,194,none,medium
female,group B,high school,standard,50,53,55,158,none,low
female,group D,some college,standard,69,79,81,229,completed,high
male,group C,some high school,free/reduced,51,56,53,160,completed,low
female,group A,high school,standard,68,80,76,224,completed,high
female,group D,some college,standard,85,86,98,269,completed,high
female,group A,associate's degree,standard,65,70,74,209,completed,medium
female,group B,some high school,standard,73,79,79,231,none,high
female,group B,some college,standard,62,67,67,196,none,medium
male,group C,associate's degree,free/reduced,77,67,64,208,none,medium
male,group D,some high school,standard,69,66,61,196,none,medium
female,group D,associate's degree,free/reduced,43,60,58,161,none,medium
male,group D,associate's degree,standard,90,87,85,262,none,high
male,group C,some college,free/reduced,74,77,73,224,none,high
male,group C,some high school,standard,73,66,63,202,none,medium
female,group D,some college,free/reduced,55,71,69,195,none,medium
female,group C,high school,standard,65,69,67,201,none,medium
male,group D,associate's degree,standard,80,63,63,206,none,medium
female,group C,some high school,free/reduced,50,60,60,170,completed,medium
female,group C,some college,free/reduced,63,73,71,207,completed,medium
female,group B,bachelor's degree,free/reduced,77,85,87,249,none,high
male,group C,some college,standard,73,74,61,208,none,medium
male,group D,associate's degree,standard,81,72,77,230,completed,high
female,group C,high school,free/reduced,66,76,68,210,none,medium
male,group D,associate's degree,free/reduced,52,57,50,159,none,low
female,group C,some college,standard,69,78,76,223,none,low
female,group C,associate's degree,standard,65,84,84,233,completed,high
female,group D,high school,standard,69,77,78,224,completed,high
female,group B,some college,standard,50,64,66,180,completed,medium
female,group E,some college,standard,73,78,76,227,completed,high
female,group C,some high school,standard,70,82,76,228,completed,high
male,group D,associate's degree,free/reduced,81,75,78,234,none,high
male,group D,some college,free/reduced,63,61,60,184,none,medium
female,group D,high school,standard,67,72,74,213,none,medium
male,group B,high school,standard,60,68,60,188,none,medium
male,group B,high school,standard,62,55,54,171,none,medium
female,group C,some high school,free/reduced,29,40,44,113,completed,low
male,group B,some college,standard,62,66,68,196,completed,medium
female,group E,master's degree,standard,94,99,100,293,completed,high
male,group E,some college,standard,85,75,68,228,completed,high
male,group D,associate's degree,free/reduced,77,78,73,228,none,high
male,group A,high school,free/reduced,53,58,44,155,none,low
male,group E,some college,free/reduced,93,90,83,266,none,high
female,group C,associate's degree,standard,49,53,53,155,none,low
female,group E,associate's degree,free/reduced,73,76,78,227,none,high
female,group C,bachelor's degree,free/reduced,66,74,81,221,completed,high
female,group D,associate's degree,standard,77,77,73,227,none,high
female,group C,some high school,standard,49,63,56,168,none,medium
female,group D,some college,free/reduced,79,89,86,254,none,high
female,group C,associate's degree,standard,75,82,90,247,completed,high
female,group A,bachelor's degree,standard,59,72,70,201,none,medium
female,group D,associate's degree,standard,57,78,79,214,completed,medium
male,group C,high school,free/reduced,66,66,59,191,none,medium
female,group E,bachelor's degree,standard,79,81,82,242,completed,high
female,group B,some high school,standard,57,67,72,196,none,medium
male,group A,bachelor's degree,standard,87,84,87,258,completed,high
female,group D,some college,standard,63,64,67,194,none,medium
female,group B,some high school,free/reduced,59,63,64,186,completed,medium
male,group A,bachelor's degree,free/reduced,62,72,65,199,none,medium
male,group D,high school,standard,46,34,36,116,none,low
male,group C,some college,standard,66,59,52,177,none,medium
male,group D,high school,standard,89,87,79,255,none,high
female,group D,associate's degree,free/reduced,42,61,58,161,completed,medium
male,group C,some college,standard,93,84,90,267,completed,high
female,group E,some high school,standard,80,85,85,250,completed,high
female,group D,some college,standard,98,100,99,297,none,high
male,group D,master's degree,standard,81,81,84,246,none,high
female,group B,some high school,standard,60,70,74,204,completed,medium
female,group B,associate's degree,free/reduced,76,94,87,257,completed,high
male,group C,associate's degree,standard,73,78,72,223,completed,high
female,group C,associate's degree,standard,96,96,99,291,completed,high
female,group C,high school,standard,76,76,74,226,none,high
male,group E,associate's degree,free/reduced,91,73,80,244,completed,high
female,group C,some college,free/reduced,62,72,70,204,none,medium
male,group D,some high school,free/reduced,55,59,59,173,completed,medium
female,group B,some high school,free/reduced,74,90,88,252,completed,high
male,group C,high school,standard,50,48,42,140,none,low
male,group B,some college,standard,47,43,41,131,none,low
male,group E,some college,standard,81,74,71,226,completed,high
female,group E,associate's degree,standard,65,75,77,217,completed,medium
male,group E,some high school,standard,68,51,57,176,completed,medium
female,group D,high school,free/reduced,73,92,84,249,none,medium
male,group C,some college,standard,53,39,37,129,none,high
female,group B,associate's degree,free/reduced,68,77,80,225,completed,high
male,group A,some high school,free/reduced,55,46,43,144,none,low
female,group C,some college,standard,87,89,94,270,completed,high
male,group D,some high school,standard,55,47,44,146,none,low
female,group E,some college,free/reduced,53,58,57,168,none,medium
male,group C,master's degree,standard,67,57,59,183,none,medium
male,group C,associate's degree,standard,92,79,84,255,none,high
female,group B,some college,free/reduced,53,66,73,192,completed,medium
male,group D,associate's degree,standard,81,71,73,225,none,low
male,group C,high school,free/reduced,61,60,55,176,none,medium
male,group D,bachelor's degree,standard,80,73,72,225,none,high
female,group A,associate's degree,free/reduced,37,57,56,150,none,low
female,group C,high school,standard,81,84,82,247,none,high
female,group C,associate's degree,standard,59,73,72,204,completed,medium
male,group B,some college,free/reduced,55,55,47,157,none,low
male,group D,associate's degree,standard,72,79,74,225,none,high
male,group D,high school,standard,69,75,71,215,none,medium
male,group C,some college,standard,69,64,68,201,none,medium
female,group C,bachelor's degree,free/reduced,50,60,59,169,none,medium
male,group B,some college,standard,87,84,86,257,completed,high
male,group D,some high school,standard,71,69,68,208,completed,high
male,group E,some college,standard,68,72,65,205,none,medium
male,group C,master's degree,free/reduced,79,77,75,231,completed,high
female,group C,some high school,standard,77,90,85,252,completed,high
male,group C,associate's degree,free/reduced,58,55,53,166,none,medium
female,group E,associate's degree,standard,84,95,92,271,none,high
male,group D,some college,standard,55,58,52,165,none,medium
male,group E,bachelor's degree,free/reduced,70,68,72,210,completed,medium
female,group D,some college,free/reduced,52,59,65,176,completed,medium
male,group B,some college,standard,69,77,77,223,completed,high
female,group C,high school,free/reduced,53,72,64,189,none,medium
female,group D,some high school,standard,48,58,54,160,none,low
male,group D,some high school,standard,78,81,86,245,completed,high
female,group B,high school,standard,62,62,63,187,none,medium
male,group D,some college,standard,60,63,59,182,none,medium
female,group B,high school,standard,74,72,72,218,none,medium
female,group C,high school,standard,58,75,77,210,completed,medium
male,group B,high school,standard,76,62,60,198,completed,medium
female,group D,some high school,standard,68,71,75,214,none,medium
male,group A,some college,free/reduced,58,60,57,175,none,low
male,group B,high school,standard,52,48,49,149,none,low
male,group D,bachelor's degree,standard,75,73,74,222,none,high
female,group B,some high school,free/reduced,52,67,72,191,completed,medium
female,group C,bachelor's degree,free/reduced,62,78,79,219,none,medium
male,group B,some college,standard,66,65,60,191,none,medium
female,group B,some high school,free/reduced,49,58,55,162,none,medium
female,group B,high school,standard,66,72,70,208,none,medium
female,group C,some college,free/reduced,35,44,43,122,none,low
female,group A,some college,standard,72,79,82,233,completed,high
male,group E,associate's degree,standard,94,85,82,261,completed,high
female,group D,associate's degree,free/reduced,46,56,57,159,none,low
female,group B,master's degree,standard,77,90,84,251,none,high
female,group B,high school,free/reduced,76,85,82,243,completed,high
female,group C,associate's degree,standard,52,59,62,173,completed,medium
male,group C,bachelor's degree,standard,91,81,79,251,completed,high
female,group B,some high school,standard,32,51,44,127,completed,low
female,group E,some high school,free/reduced,72,79,77,228,none,high
female,group B,some college,standard,19,38,32,89,none,low
male,group C,associate's degree,free/reduced,68,65,61,194,none,medium
female,group C,master's degree,free/reduced,52,65,61,178,none,medium
female,group B,high school,standard,48,62,60,170,none,medium
female,group D,some college,free/reduced,60,66,70,196,none,medium
male,group D,high school,free/reduced,66,74,69,209,none,medium
male,group E,some high school,standard,89,84,77,250,completed,high
female,group B,high school,standard,42,52,51,145,none,low
female,group E,associate's degree,free/reduced,57,68,73,198,completed,medium
male,group D,high school,standard,70,70,70,210,none,medium
female,group E,associate's degree,free/reduced,70,84,81,235,none,high
male,group E,some college,standard,69,60,54,183,none,medium
female,group C,associate's degree,standard,52,55,57,164,none,medium
male,group C,some high school,standard,67,73,68,208,completed,medium
male,group C,some high school,standard,76,80,73,229,completed,high
female,group E,associate's degree,standard,87,94,95,276,none,high
female,group B,some college,standard,82,85,87,254,none,high
female,group C,some college,standard,73,76,78,227,none,high
male,group A,some college,free/reduced,75,81,74,230,none,high
female,group D,some college,free/reduced,64,74,75,213,none,medium
female,group E,high school,free/reduced,41,45,40,126,none,low
male,group C,high school,standard,90,75,69,234,none,high
male,group B,bachelor's degree,standard,59,54,51,164,none,high
male,group A,some high school,standard,51,31,36,118,none,low
male,group A,high school,free/reduced,45,47,49,141,none,low
female,group C,master's degree,standard,54,64,67,185,completed,medium
male,group E,some high school,standard,87,84,76,247,completed,high
female,group C,high school,standard,72,80,83,235,none,high
male,group B,some high school,standard,94,86,87,267,completed,high
female,group A,bachelor's degree,standard,45,59,64,168,none,medium
male,group D,bachelor's degree,free/reduced,61,70,76,207,completed,medium
female,group B,high school,free/reduced,60,72,68,200,none,medium
female,group C,some high school,standard,77,91,88,256,none,high
female,group A,some high school,standard,85,90,92,267,completed,high
female,group D,bachelor's degree,free/reduced,78,90,93,261,none,high
male,group E,some college,free/reduced,49,52,51,152,completed,low
female,group B,high school,free/reduced,71,87,82,240,none,high
female,group C,some high school,free/reduced,48,58,52,158,none,low
male,group C,high school,standard,62,67,58,187,none,medium
female,group C,associate's degree,free/reduced,56,68,70,194,completed,medium
female,group C,some high school,standard,65,69,76,210,none,medium
female,group D,some high school,free/reduced,69,86,81,236,completed,high
male,group B,some high school,standard,68,54,53,175,none,medium
female,group A,some college,free/reduced,61,60,57,178,none,medium
female,group C,bachelor's degree,free/reduced,74,86,89,249,completed,high
male,group A,bachelor's degree,standard,64,60,58,182,none,medium
female,group B,high school,standard,77,82,89,248,completed,high
male,group B,some college,standard,58,50,45,153,none,low
female,group C,high school,standard,60,64,74,198,completed,medium
male,group E,high school,standard,73,64,57,194,none,medium
female,group A,high school,standard,75,82,79,236,completed,high
male,group B,associate's degree,free/reduced,58,57,53,168,completed,medium
female,group C,associate's degree,standard,66,77,73,216,none,medium
female,group D,high school,free/reduced,39,52,46,137,none,low
male,group C,some high school,standard,64,58,51,173,none,medium
female,group B,high school,free/reduced,23,44,36,103,completed,low
male,group B,some college,free/reduced,74,77,76,227,completed,high
female,group D,some high school,free/reduced,40,65,64,169,completed,high
male,group E,master's degree,standard,90,85,84,259,none,low
male,group C,master's degree,standard,91,85,85,261,completed,high
male,group D,high school,standard,64,54,50,168,none,medium
female,group C,high school,standard,59,72,68,199,none,medium
male,group D,associate's degree,standard,80,75,69,224,none,high
male,group C,master's degree,standard,71,67,67,205,none,medium
female,group A,high school,standard,61,68,63,192,none,medium
female,group E,some college,standard,87,85,93,265,none,high
male,group E,some high school,standard,82,67,61,210,none,medium
male,group C,some high school,standard,62,64,55,181,none,medium
female,group B,bachelor's degree,standard,97,97,96,290,none,high
male,group B,some college,free/reduced,75,68,65,208,none,medium
female,group C,bachelor's degree,standard,65,79,81,225,none,high
male,group B,high school,standard,52,49,46,147,completed,low
male,group C,associate's degree,free/reduced,87,73,72,232,none,high
female,group C,associate's degree,standard,53,62,53,168,none,medium
female,group E,master's degree,free/reduced,81,86,87,254,none,high
male,group D,bachelor's degree,free/reduced,39,42,38,119,completed,low
female,group C,some college,standard,71,71,80,222,completed,high
male,group C,associate's degree,standard,97,93,91,281,none,high
male,group D,some college,standard,82,82,88,252,completed,high
male,group C,high school,free/reduced,59,53,52,164,none,medium
male,group B,associate's degree,standard,61,42,41,144,none,low
male,group E,associate's degree,free/reduced,78,74,72,224,completed,high
male,group C,associate's degree,free/reduced,49,51,51,151,none,low
male,group B,high school,standard,59,58,47,164,none,medium
female,group C,some college,standard,70,72,76,218,completed,medium
male,group B,associate's degree,standard,82,84,78,244,completed,high
male,group E,associate's degree,free/reduced,90,90,82,262,none,high
female,group C,bachelor's degree,free/reduced,43,62,61,166,none,medium
male,group C,some college,free/reduced,80,64,66,210,none,medium
male,group D,some college,standard,81,82,84,247,none,high
male,group C,some high school,standard,57,61,54,172,none,medium
female,group D,some high school,standard,59,72,80,211,none,medium
female,group D,associate's degree,standard,64,76,74,214,none,medium
male,group C,bachelor's degree,standard,63,64,66,193,completed,medium
female,group E,bachelor's degree,standard,71,70,70,211,completed,medium
female,group B,high school,free/reduced,64,73,71,208,none,medium
male,group D,bachelor's degree,free/reduced,55,46,44,145,none,low
female,group E,associate's degree,standard,51,51,54,156,none,low
female,group C,associate's degree,standard,62,76,80,218,completed,medium
female,group E,associate's degree,standard,93,100,95,288,completed,high
male,group C,high school,free/reduced,54,72,59,185,none,medium
female,group D,some college,free/reduced,69,65,74,208,none,medium
male,group D,high school,free/reduced,44,51,48,143,none,low
female,group E,some college,standard,86,85,91,262,completed,high
female,group E,associate's degree,standard,85,92,85,262,none,high
female,group A,master's degree,free/reduced,50,67,73,190,none,low
male,group D,some high school,standard,88,74,75,237,completed,high
female,group E,associate's degree,standard,59,62,69,190,none,medium
female,group E,some high school,free/reduced,32,34,38,104,none,low
male,group B,high school,free/reduced,36,29,27,92,none,low
female,group B,some high school,free/reduced,63,78,79,220,completed,medium
male,group D,associate's degree,standard,67,54,63,184,completed,medium
female,group D,some high school,standard,65,78,82,225,completed,high
male,group D,master's degree,standard,85,84,89,258,none,high
female,group C,master's degree,standard,73,78,74,225,none,high
female,group A,high school,free/reduced,34,48,41,123,completed,low
female,group D,bachelor's degree,free/reduced,93,100,100,293,completed,high
female,group D,some high school,free/reduced,67,84,84,235,none,high
male,group D,some college,standard,88,77,77,242,none,high
male,group B,high school,standard,57,48,51,156,none,low
female,group D,some college,standard,79,84,91,254,completed,high
female,group C,bachelor's degree,free/reduced,67,75,72,214,none,medium
male,group E,bachelor's degree,standard,70,64,70,204,completed,medium
male,group D,bachelor's degree,free/reduced,50,42,48,140,none,low
female,group A,some college,standard,69,84,82,235,none,high
female,group C,bachelor's degree,standard,52,61,66,179,completed,medium
female,group C,bachelor's degree,free/reduced,47,62,66,175,completed,medium
female,group B,associate's degree,free/reduced,46,61,55,162,none,medium
female,group E,some college,standard,68,70,66,204,none,low
male,group E,bachelor's degree,standard,100,100,100,300,completed,high
female,group C,high school,standard,44,61,52,157,none,low
female,group C,associate's degree,standard,57,77,80,214,completed,medium
male,group B,some college,standard,91,96,91,278,completed,high
male,group D,high school,free/reduced,69,70,67,206,none,medium
female,group C,high school,free/reduced,35,53,46,134,none,low
male,group D,high school,standard,72,66,66,204,none,medium
female,group B,associate's degree,free/reduced,54,65,65,184,none,medium
male,group D,high school,free/reduced,74,70,69,213,none,medium
male,group E,some high school,standard,74,64,60,198,completed,medium
male,group E,associate's degree,free/reduced,64,56,52,172,none,medium
female,group D,high school,free/reduced,65,61,71,197,completed,medium
male,group E,associate's degree,free/reduced,46,43,44,133,completed,low
female,group C,some high school,free/reduced,48,56,51,155,none,low
male,group C,some college,free/reduced,67,74,70,211,completed,medium
male,group D,some college,free/reduced,62,57,62,181,none,medium
male,group D,associate's degree,free/reduced,61,71,73,205,completed,medium
male,group C,bachelor's degree,free/reduced,70,75,74,219,completed,high
male,group C,associate's degree,standard,98,87,90,275,completed,high
male,group D,some college,free/reduced,70,63,58,191,none,medium
male,group A,associate's degree,standard,67,57,53,177,none,medium
female,group E,high school,free/reduced,57,58,57,172,none,medium
male,group D,some college,standard,85,81,85,251,completed,high
male,group D,some high school,standard,77,68,69,214,completed,medium
male,group C,master's degree,free/reduced,72,66,72,210,completed,medium
female,group D,master's degree,standard,78,91,96,265,none,high
male,group C,high school,standard,81,66,64,211,none,medium
male,group A,some high school,free/reduced,61,62,61,184,completed,medium
female,group B,high school,standard,58,68,61,187,none,medium
female,group C,associate's degree,standard,54,61,58,173,none,medium
male,group B,high school,standard,82,82,80,244,none,high
female,group D,some college,free/reduced,49,58,60,167,none,medium
male,group B,some high school,free/reduced,49,50,52,151,completed,low
female,group E,high school,free/reduced,57,75,73,205,completed,medium
male,group E,high school,standard,94,73,71,238,none,high
female,group D,some college,standard,75,77,83,235,completed,high
female,group E,some high school,free/reduced,74,74,72,220,none,medium
male,group C,high school,standard,58,52,54,164,completed,medium
female,group C,some college,standard,62,69,69,200,none,medium
male,group E,associate's degree,standard,72,57,62,191,none,medium
male,group C,some college,standard,84,87,81,252,none,high
female,group D,master's degree,standard,92,100,100,292,none,high
female,group D,high school,standard,45,63,59,167,none,medium
male,group C,high school,standard,75,81,71,227,none,high
female,group A,some college,standard,56,58,64,178,none,medium
female,group D,some high school,free/reduced,48,54,53,155,none,low
female,group E,associate's degree,standard,100,100,100,300,none,high
female,group C,some high school,free/reduced,65,76,75,216,completed,medium
male,group D,some college,standard,72,57,58,187,none,medium
female,group D,some college,standard,62,70,72,204,none,medium
male,group A,some high school,standard,66,68,64,198,completed,medium
male,group C,some college,standard,63,63,60,186,none,medium
female,group E,associate's degree,standard,68,76,67,211,none,medium
female,group B,bachelor's degree,standard,75,84,80,239,none,high
female,group D,bachelor's degree,standard,89,100,100,289,none,high
male,group C,some high school,standard,78,72,69,219,completed,medium
female,group A,high school,free/reduced,53,50,60,163,completed,medium
female,group D,some college,free/reduced,49,65,61,175,none,medium
female,group A,some college,standard,54,63,67,184,none,medium
female,group C,some college,standard,64,82,77,223,completed,high
male,group B,some college,free/reduced,60,62,60,182,completed,medium
male,group C,associate's degree,standard,62,65,58,185,none,medium
male,group D,high school,standard,55,41,48,144,completed,low
female,group C,associate's degree,standard,91,95,94,280,none,high
female,group B,high school,free/reduced,8,24,23,55,none,low
male,group D,some high school,standard,81,78,78,237,none,high
male,group B,some high school,standard,79,85,86,250,completed,high
female,group A,some college,standard,78,87,91,256,completed,high
female,group C,some high school,standard,74,75,82,231,none,high
male,group A,high school,standard,57,51,54,162,none,medium
female,group C,associate's degree,standard,40,59,51,150,none,low
male,group E,some high school,standard,81,75,76,232,completed,high
female,group A,some high school,free/reduced,44,45,45,134,none,low
female,group D,some college,free/reduced,67,86,83,236,completed,high
male,group E,high school,free/reduced,86,81,75,242,completed,high
female,group B,some high school,standard,65,82,78,225,completed,high
female,group D,associate's degree,free/reduced,55,76,76,207,none,medium
female,group D,bachelor's degree,free/reduced,62,72,74,208,none,medium
male,group A,high school,standard,63,63,62,188,none,medium
female,group E,master's degree,standard,88,99,95,282,completed,high
male,group C,high school,free/reduced,62,55,55,172,none,medium
female,group C,high school,free/reduced,59,71,65,195,completed,medium
female,group D,some college,standard,68,78,77,223,completed,high
female,group D,some college,free/reduced,77,86,86,249,none,high
